epoch,train_loss,val_mae,val_rmse,lr
1,0.003987,0.053791,0.106361,0.001
2,0.002246,0.051735,0.104332,0.001
3,0.00206,0.051858,0.103874,0.001
4,0.001988,0.052715,0.104227,0.001
5,0.001948,0.053199,0.104604,0.001
6,0.001921,0.053179,0.104389,0.001
7,0.001898,0.05369,0.104469,0.001
8,0.001881,0.053598,0.104727,0.001
9,0.001863,0.05396,0.105234,0.001
10,0.001848,0.053145,0.10418,0.001
11,0.001832,0.052874,0.104064,0.001
12,0.001818,0.052399,0.103306,0.001
13,0.001804,0.052438,0.103528,0.0005
14,0.001791,0.052707,0.103958,0.0005
15,0.001785,0.05232,0.103523,0.0005
16,0.001778,0.052392,0.103464,0.0005
17,0.001773,0.052068,0.103343,0.0005
18,0.001766,0.052581,0.103762,0.0005
19,0.001761,0.051769,0.103018,0.0005
20,0.001754,0.051758,0.102878,0.0005
21,0.001749,0.051568,0.102802,0.0005
22,0.001744,0.051617,0.102773,0.0005
23,0.00174,0.051826,0.102918,0.0005
24,0.001735,0.051361,0.102669,0.0005
25,0.00173,0.051801,0.102945,0.0005
26,0.001725,0.051415,0.102596,0.0005
27,0.001722,0.051628,0.102767,0.0005
28,0.001717,0.051392,0.10255,0.0005
29,0.001713,0.051386,0.102597,0.0005
30,0.00171,0.05115,0.102448,0.0005
31,0.001707,0.051231,0.102586,0.0005
32,0.001704,0.05082,0.10221,0.0005
33,0.001699,0.051293,0.102553,0.0005
34,0.001697,0.051084,0.10238,0.0005
35,0.001694,0.050826,0.102145,0.0005
36,0.00169,0.05072,0.102165,0.0005
37,0.001687,0.0511,0.102193,0.0005
38,0.001684,0.050712,0.102179,0.0005
39,0.001683,0.050509,0.101988,0.0005
40,0.001679,0.050587,0.102178,0.0005
41,0.001676,0.05058,0.102102,0.0005
42,0.001674,0.050217,0.1019,0.0005
43,0.001672,0.050542,0.102108,0.0005
44,0.001669,0.050558,0.102092,0.0005
45,0.001666,0.050444,0.101902,0.0005
46,0.001664,0.050467,0.10199,0.0005
47,0.001662,0.050821,0.102086,0.0005
48,0.001661,0.050271,0.101868,0.0005
49,0.001657,0.050127,0.101873,0.0005
50,0.001655,0.050393,0.10191,0.0005
51,0.001654,0.049922,0.10182,0.0005
52,0.001651,0.050498,0.101993,0.0005
53,0.001649,0.050033,0.101842,0.0005
54,0.001648,0.050148,0.10185,0.0005
55,0.001645,0.050584,0.101976,0.0005
56,0.001644,0.050544,0.101853,0.0005
57,0.001643,0.050283,0.101915,0.0005
58,0.001639,0.049952,0.101805,0.0005
59,0.001637,0.050028,0.101841,0.0005
60,0.001637,0.050122,0.101795,0.0005
61,0.001635,0.049962,0.101715,0.0005
62,0.001633,0.049904,0.101837,0.0005
63,0.001633,0.049852,0.101812,0.0005
64,0.00163,0.049624,0.101763,0.0005
65,0.001628,0.049809,0.101797,0.0005
66,0.001627,0.050109,0.101808,0.0005
67,0.001625,0.050022,0.101912,0.0005
68,0.001623,0.050243,0.101826,0.0005
69,0.001622,0.049938,0.101779,0.0005
70,0.001621,0.050102,0.101688,0.0005
71,0.001619,0.049886,0.101775,0.0005
72,0.001618,0.049919,0.101794,0.0005
73,0.001618,0.050159,0.101653,0.0005
74,0.001616,0.050275,0.101798,0.0005
75,0.001615,0.049793,0.101641,0.00025
76,0.001611,0.049562,0.101522,0.00025
77,0.001611,0.049932,0.101538,0.00025
78,0.001609,0.049513,0.101647,0.00025
79,0.001609,0.049649,0.101548,0.00025
80,0.001609,0.049602,0.10162,0.00025
81,0.001608,0.049522,0.101507,0.00025
82,0.001609,0.049618,0.101592,0.00025
83,0.001607,0.04958,0.101686,0.00025
84,0.001606,0.049502,0.101502,0.00025
85,0.001606,0.049906,0.101744,0.00025
86,0.001605,0.049819,0.101685,0.00025
87,0.001604,0.049786,0.101687,0.00025
88,0.001604,0.049585,0.101499,0.00025
89,0.001603,0.049915,0.101654,0.00025
90,0.001602,0.049692,0.101565,0.00025
91,0.001602,0.049801,0.101686,0.00025
92,0.001601,0.049768,0.10177,0.00025
93,0.0016,0.049623,0.101589,0.00025
94,0.0016,0.049844,0.101555,0.00025
95,0.001599,0.049858,0.101623,0.000125
96,0.001598,0.049732,0.101526,0.000125
97,0.001598,0.049696,0.101589,0.000125
98,0.001597,0.049512,0.101556,0.000125
99,0.001598,0.049826,0.101608,0.000125
100,0.001597,0.049696,0.101529,0.000125
101,0.001597,0.049744,0.101646,0.000125
102,0.001596,0.050012,0.101631,0.000125
103,0.001596,0.049853,0.101676,0.000125
104,0.001596,0.049951,0.101719,0.000125
105,0.001595,0.049861,0.101621,0.000125
106,0.001595,0.049908,0.101639,6.25e-05
107,0.001594,0.04981,0.101576,6.25e-05
108,0.001594,0.049925,0.101622,6.25e-05
109,0.001594,0.049767,0.101632,6.25e-05
