epoch,train_loss,val_mae,val_rmse,lr
1,0.006676,0.088093,0.123223,0.001
2,0.003718,0.084689,0.118068,0.001
3,0.003411,0.083564,0.11616,0.001
4,0.003202,0.082901,0.115106,0.001
5,0.003044,0.081943,0.114127,0.001
6,0.002926,0.081757,0.113316,0.001
7,0.002841,0.080856,0.112459,0.001
8,0.002775,0.080334,0.111831,0.001
9,0.00272,0.07995,0.111302,0.001
10,0.002674,0.079407,0.11095,0.001
11,0.002632,0.079176,0.110687,0.001
12,0.002597,0.078916,0.110394,0.001
13,0.002566,0.078504,0.110149,0.001
14,0.002537,0.077913,0.109755,0.001
15,0.002511,0.078436,0.109883,0.001
16,0.00249,0.078257,0.109582,0.001
17,0.002464,0.078231,0.109444,0.001
18,0.002447,0.077654,0.109213,0.001
19,0.002429,0.078075,0.109384,0.001
20,0.002412,0.077939,0.109286,0.001
21,0.002399,0.078069,0.109221,0.001
22,0.002385,0.077614,0.109165,0.001
23,0.002372,0.077686,0.109186,0.001
24,0.002362,0.077694,0.108942,0.001
25,0.002352,0.077196,0.108932,0.001
26,0.002344,0.078118,0.109036,0.001
27,0.002333,0.07773,0.108941,0.001
28,0.002324,0.077396,0.108935,0.001
29,0.00232,0.077684,0.108832,0.001
30,0.002309,0.078034,0.108918,0.001
31,0.002305,0.077243,0.108633,0.001
32,0.002298,0.077693,0.108877,0.001
33,0.002291,0.07768,0.108664,0.001
34,0.002286,0.078338,0.108993,0.001
35,0.002281,0.07741,0.108575,0.001
36,0.002276,0.077534,0.108702,0.0005
37,0.002268,0.077767,0.108615,0.0005
38,0.002265,0.077655,0.108427,0.0005
39,0.002263,0.077805,0.108587,0.0005
40,0.00226,0.07779,0.108557,0.0005
41,0.002258,0.077724,0.10846,0.0005
42,0.002255,0.077902,0.108531,0.0005
43,0.002252,0.077757,0.108544,0.0005
44,0.002251,0.077974,0.108594,0.0005
45,0.002248,0.077526,0.108378,0.0005
46,0.002246,0.077552,0.108485,0.0005
47,0.002243,0.077465,0.108309,0.00025
48,0.00224,0.077566,0.108393,0.00025
49,0.002238,0.077695,0.108426,0.00025
50,0.002237,0.077854,0.108447,0.00025
