epoch,train_loss,val_mae,val_rmse,lr
1,0.007072,0.059729,0.08522,0.001
2,0.002336,0.038168,0.053551,0.001
3,0.001563,0.028656,0.041462,0.001
4,0.001252,0.024451,0.035777,0.001
5,0.001071,0.020312,0.030713,0.001
6,0.000938,0.018767,0.029005,0.001
7,0.000838,0.016942,0.026516,0.001
8,0.000756,0.016836,0.026239,0.001
9,0.000691,0.017092,0.026019,0.001
10,0.000632,0.015336,0.023942,0.001
11,0.000582,0.014519,0.022981,0.001
12,0.000543,0.014293,0.022472,0.001
13,0.000504,0.013955,0.022144,0.001
14,0.00047,0.013949,0.021878,0.001
15,0.000437,0.015209,0.02279,0.001
16,0.00041,0.012571,0.020478,0.001
17,0.000384,0.014165,0.021677,0.001
18,0.000366,0.012182,0.019941,0.001
19,0.000343,0.013508,0.020964,0.001
20,0.000326,0.011437,0.019218,0.001
21,0.000311,0.011988,0.019533,0.001
22,0.0003,0.012538,0.01995,0.001
23,0.000289,0.012212,0.019608,0.001
24,0.00028,0.011022,0.018599,0.001
25,0.000268,0.011063,0.018606,0.001
26,0.00026,0.012185,0.019466,0.001
27,0.000253,0.010913,0.018444,0.001
28,0.000249,0.011038,0.018466,0.001
29,0.000242,0.012217,0.019346,0.001
30,0.000237,0.01149,0.018851,0.001
31,0.000231,0.010304,0.017821,0.001
32,0.000223,0.011314,0.018625,0.001
33,0.00022,0.010092,0.017588,0.001
34,0.000218,0.011251,0.018521,0.001
35,0.000213,0.010794,0.018113,0.001
36,0.000213,0.010283,0.01764,0.001
37,0.000206,0.010486,0.017899,0.001
38,0.000203,0.010326,0.017746,0.001
39,0.000201,0.01034,0.017757,0.001
40,0.000197,0.010404,0.017791,0.001
41,0.000194,0.011503,0.018647,0.001
42,0.000192,0.012295,0.019325,0.001
43,0.000191,0.010602,0.017997,0.001
44,0.000189,0.009839,0.017336,0.001
45,0.000188,0.010573,0.017974,0.001
46,0.000185,0.010259,0.017667,0.001
47,0.000183,0.010601,0.017941,0.001
48,0.000179,0.010848,0.018121,0.001
49,0.000181,0.011424,0.018562,0.001
50,0.000178,0.011536,0.018754,0.001
51,0.000174,0.010946,0.018177,0.001
52,0.000175,0.010797,0.018056,0.001
53,0.000172,0.012396,0.019299,0.001
54,0.000173,0.010434,0.017725,0.001
55,0.000169,0.010444,0.017739,0.0005
56,0.000167,0.011585,0.018704,0.0005
57,0.000165,0.011273,0.018405,0.0005
58,0.000164,0.010503,0.017822,0.0005
59,0.000165,0.012061,0.019076,0.0005
60,0.000164,0.012075,0.019123,0.0005
61,0.000163,0.012962,0.019806,0.0005
62,0.000162,0.010853,0.018061,0.0005
63,0.000161,0.010484,0.017821,0.0005
64,0.00016,0.012396,0.01938,0.0005
65,0.000159,0.010882,0.018092,0.0005
66,0.00016,0.01196,0.018931,0.00025
67,0.000157,0.011489,0.018566,0.00025
68,0.000157,0.010986,0.018191,0.00025
69,0.000157,0.0117,0.018784,0.00025
