epoch,train_loss,val_mae,val_rmse,lr
1,0.002941,0.028712,0.129937,0.001
2,0.001263,0.026264,0.124351,0.001
3,0.001108,0.026144,0.123613,0.001
4,0.001043,0.025848,0.123119,0.001
5,0.001022,0.026058,0.123326,0.001
6,0.001014,0.026242,0.12295,0.001
7,0.001009,0.026215,0.123137,0.001
8,0.001005,0.026017,0.123031,0.001
9,0.001002,0.026127,0.122983,0.001
10,0.000999,0.025938,0.123007,0.001
11,0.000997,0.025893,0.122763,0.001
12,0.000995,0.025894,0.122777,0.001
13,0.000994,0.02588,0.122805,0.001
14,0.000992,0.025807,0.122249,0.001
15,0.000991,0.025882,0.122218,0.001
16,0.00099,0.025617,0.12256,0.001
17,0.000989,0.025513,0.122354,0.001
18,0.000988,0.025436,0.122222,0.001
19,0.000987,0.025511,0.1222,0.001
20,0.000986,0.025611,0.122256,0.001
21,0.000986,0.025395,0.12185,0.001
22,0.000985,0.025498,0.122129,0.001
23,0.000985,0.025394,0.121931,0.001
24,0.000984,0.025556,0.121684,0.001
25,0.000983,0.025563,0.12167,0.001
26,0.000983,0.025386,0.121599,0.001
27,0.000983,0.02548,0.121495,0.001
28,0.000982,0.02548,0.121527,0.001
29,0.000982,0.025466,0.121537,0.001
30,0.000981,0.025474,0.121537,0.001
31,0.000981,0.025573,0.121374,0.001
32,0.00098,0.025315,0.121443,0.001
33,0.00098,0.025409,0.121332,0.001
34,0.000979,0.025479,0.121495,0.001
35,0.000979,0.025378,0.121412,0.001
36,0.000979,0.025578,0.121427,0.001
37,0.000978,0.025504,0.121256,0.001
38,0.000978,0.025226,0.121226,0.001
39,0.000978,0.025578,0.121474,0.001
40,0.000977,0.025394,0.121351,0.001
41,0.000977,0.025598,0.12121,0.001
42,0.000976,0.025475,0.121033,0.001
43,0.000976,0.025333,0.121155,0.001
44,0.000976,0.025496,0.12131,0.001
45,0.000975,0.025401,0.121204,0.001
46,0.000975,0.025447,0.121035,0.001
47,0.000975,0.025495,0.121153,0.001
48,0.000974,0.025476,0.121091,0.001
49,0.000974,0.025479,0.120853,0.0005
50,0.000973,0.025456,0.121111,0.0005
51,0.000973,0.025589,0.121038,0.0005
52,0.000973,0.025455,0.121036,0.0005
53,0.000972,0.025523,0.121034,0.0005
54,0.000972,0.025551,0.120881,0.0005
55,0.000972,0.025415,0.120958,0.0005
56,0.000972,0.025369,0.121061,0.0005
57,0.000972,0.025499,0.120971,0.0005
58,0.000972,0.025708,0.121021,0.0005
59,0.000972,0.025431,0.121083,0.0005
60,0.000972,0.025501,0.120947,0.00025
61,0.000971,0.025473,0.120924,0.00025
62,0.000971,0.025519,0.121008,0.00025
63,0.000971,0.025584,0.120887,0.00025
