epoch,train_loss,val_mae,val_rmse,lr
1,0.008581,0.052454,0.069104,0.001
2,0.002758,0.051207,0.067036,0.001
3,0.002288,0.04763,0.063149,0.001
4,0.002022,0.046227,0.06152,0.001
5,0.001856,0.045388,0.06062,0.001
6,0.001737,0.043714,0.058502,0.001
7,0.001645,0.043785,0.058564,0.001
8,0.001574,0.042353,0.056926,0.001
9,0.001518,0.041937,0.056475,0.001
10,0.001463,0.042191,0.056663,0.001
11,0.001421,0.041316,0.055752,0.001
12,0.001382,0.040785,0.055199,0.001
13,0.001345,0.041146,0.05546,0.001
14,0.001311,0.04041,0.054752,0.001
15,0.001283,0.040326,0.054635,0.001
16,0.001255,0.040664,0.054875,0.001
17,0.001231,0.040289,0.05453,0.001
18,0.001208,0.039452,0.053822,0.001
19,0.001188,0.04039,0.054679,0.001
20,0.00117,0.040536,0.054715,0.001
21,0.001151,0.040016,0.05419,0.001
22,0.001136,0.039939,0.054159,0.001
23,0.001123,0.039529,0.053681,0.001
24,0.001108,0.039884,0.053998,0.001
25,0.001095,0.039884,0.054007,0.001
26,0.001084,0.03917,0.053317,0.001
27,0.001075,0.040468,0.054549,0.001
28,0.001068,0.040259,0.054266,0.001
29,0.001057,0.040022,0.054154,0.001
30,0.001049,0.039649,0.053699,0.001
31,0.001042,0.040375,0.054435,0.001
32,0.001034,0.040745,0.054824,0.001
33,0.001026,0.041473,0.055571,0.001
34,0.00102,0.040451,0.054438,0.001
35,0.001015,0.040941,0.055005,0.001
36,0.00101,0.041381,0.055458,0.001
37,0.001006,0.039935,0.053958,0.0005
38,0.000998,0.040095,0.054132,0.0005
39,0.000995,0.040476,0.054509,0.0005
40,0.000993,0.040335,0.054318,0.0005
41,0.000991,0.039797,0.053786,0.0005
42,0.000989,0.040155,0.054169,0.0005
43,0.000986,0.040407,0.054417,0.0005
44,0.000983,0.040109,0.054099,0.0005
45,0.000982,0.040143,0.054138,0.0005
46,0.000978,0.041049,0.055015,0.0005
47,0.000977,0.039933,0.053881,0.0005
48,0.000974,0.039785,0.053718,0.00025
49,0.000971,0.040691,0.054635,0.00025
50,0.00097,0.040244,0.054149,0.00025
51,0.000969,0.040448,0.054342,0.00025
