epoch,train_loss,val_mae,val_rmse,lr
1,0.008025,0.054166,0.106126,0.001
2,0.002403,0.052465,0.104594,0.001
3,0.002106,0.052042,0.104083,0.001
4,0.001984,0.051252,0.1041,0.001
5,0.001921,0.051108,0.104757,0.001
6,0.00189,0.050852,0.103955,0.001
7,0.001856,0.050913,0.104015,0.001
8,0.001833,0.050872,0.103756,0.001
9,0.001813,0.049995,0.103827,0.001
10,0.001792,0.05146,0.103349,0.001
11,0.001769,0.049957,0.10424,0.001
12,0.001742,0.051986,0.103311,0.001
13,0.001721,0.051592,0.103018,0.001
14,0.001702,0.049466,0.103014,0.001
15,0.001686,0.049588,0.102796,0.001
16,0.00167,0.050133,0.102305,0.001
17,0.001653,0.050606,0.104095,0.001
18,0.001644,0.050451,0.102335,0.001
19,0.001634,0.049463,0.102653,0.001
20,0.001614,0.04975,0.103536,0.001
21,0.001616,0.053901,0.10316,0.001
22,0.001621,0.051274,0.102057,0.001
23,0.001588,0.049458,0.101858,0.001
24,0.001583,0.052452,0.102661,0.001
25,0.001588,0.050314,0.101899,0.001
26,0.001572,0.04944,0.102057,0.001
27,0.001562,0.049455,0.101877,0.001
28,0.001555,0.051571,0.101763,0.001
29,0.001577,0.048813,0.101569,0.001
30,0.001543,0.048433,0.102108,0.001
31,0.00154,0.048599,0.101892,0.001
32,0.001538,0.048714,0.1018,0.001
33,0.001532,0.048952,0.101692,0.001
34,0.001527,0.048794,0.101591,0.001
35,0.001519,0.050502,0.101477,0.001
36,0.00152,0.04837,0.101532,0.001
37,0.001507,0.049302,0.101589,0.001
38,0.001508,0.050735,0.102228,0.001
39,0.001503,0.048264,0.101589,0.001
40,0.001498,0.050608,0.101864,0.001
41,0.001496,0.048795,0.103125,0.001
42,0.001491,0.050468,0.101656,0.001
43,0.001491,0.049,0.101368,0.001
44,0.001482,0.050158,0.101715,0.001
45,0.001479,0.048725,0.101415,0.001
46,0.001476,0.049441,0.101435,0.001
47,0.001473,0.04966,0.101549,0.001
48,0.001476,0.049928,0.101239,0.001
49,0.001465,0.048812,0.103446,0.001
50,0.001469,0.0487,0.102449,0.0005
51,0.001447,0.048501,0.101861,0.0005
52,0.001443,0.047836,0.101771,0.0005
53,0.001442,0.048093,0.101576,0.0005
54,0.00144,0.048355,0.102163,0.0005
55,0.00144,0.048226,0.101575,0.0005
56,0.001438,0.048342,0.102127,0.0005
57,0.001438,0.04888,0.101624,0.0005
58,0.001435,0.047884,0.101444,0.0005
59,0.001433,0.048356,0.101746,0.0005
60,0.001433,0.048605,0.101583,0.0005
61,0.001431,0.047948,0.102202,0.0005
62,0.001431,0.048254,0.101445,0.0005
63,0.001427,0.047967,0.101574,0.00025
64,0.001421,0.048095,0.101734,0.00025
65,0.001419,0.047622,0.102105,0.00025
66,0.001418,0.047673,0.101871,0.00025
67,0.001417,0.048289,0.101689,0.00025
68,0.001416,0.047883,0.102143,0.00025
69,0.001416,0.048136,0.101416,0.00025
70,0.001415,0.0486,0.101552,0.00025
71,0.001414,0.047941,0.101905,0.00025
72,0.001413,0.047933,0.101476,0.00025
73,0.001412,0.048039,0.101575,0.00025
74,0.001411,0.04777,0.101672,0.00025
75,0.001411,0.047847,0.102067,0.00025
76,0.001409,0.04793,0.101804,0.000125
77,0.001406,0.04797,0.101704,0.000125
78,0.001405,0.047987,0.101786,0.000125
79,0.001404,0.04772,0.101724,0.000125
80,0.001404,0.04797,0.101618,0.000125
81,0.001403,0.047775,0.101791,0.000125
82,0.001403,0.04787,0.101792,0.000125
83,0.001402,0.047574,0.101846,0.000125
84,0.001402,0.047789,0.101651,0.000125
85,0.001401,0.047905,0.101503,0.000125
86,0.0014,0.048209,0.101652,0.000125
87,0.0014,0.047727,0.101748,0.000125
88,0.001399,0.048296,0.101618,0.000125
89,0.001399,0.04804,0.101676,0.000125
90,0.001399,0.047936,0.101843,0.000125
91,0.001398,0.047951,0.101944,0.000125
92,0.001397,0.047947,0.101626,0.000125
93,0.001397,0.048015,0.101584,0.000125
94,0.001397,0.04786,0.101945,6.25e-05
95,0.001394,0.047979,0.101656,6.25e-05
96,0.001393,0.047876,0.101994,6.25e-05
97,0.001393,0.047852,0.10176,6.25e-05
98,0.001393,0.047739,0.101812,6.25e-05
99,0.001392,0.048179,0.101705,6.25e-05
100,0.001392,0.047974,0.101686,6.25e-05
101,0.001392,0.047875,0.101693,6.25e-05
102,0.001391,0.047703,0.101779,6.25e-05
103,0.001391,0.047995,0.101977,6.25e-05
104,0.00139,0.047667,0.101981,6.25e-05
105,0.00139,0.047766,0.101815,3.125e-05
106,0.001389,0.047946,0.1018,3.125e-05
107,0.001389,0.047848,0.101825,3.125e-05
108,0.001389,0.047711,0.101843,3.125e-05
