epoch,train_loss,val_mae,val_rmse,lr
1,0.008807,0.086995,0.119618,0.001
2,0.003415,0.085166,0.118421,0.001
3,0.003093,0.083476,0.116882,0.001
4,0.002905,0.083594,0.116019,0.001
5,0.002772,0.081563,0.114289,0.001
6,0.002668,0.080456,0.113432,0.001
7,0.002586,0.07966,0.112598,0.001
8,0.002522,0.080106,0.112444,0.001
9,0.002467,0.078666,0.111183,0.001
10,0.00242,0.078612,0.111591,0.001
11,0.002381,0.078639,0.11015,0.001
12,0.002338,0.078586,0.111043,0.001
13,0.002317,0.077369,0.110367,0.001
14,0.002279,0.077272,0.109397,0.001
15,0.002259,0.076855,0.10862,0.001
16,0.002227,0.077011,0.108519,0.001
17,0.002211,0.076382,0.108029,0.001
18,0.002188,0.075724,0.107821,0.001
19,0.002174,0.07538,0.108251,0.001
20,0.002151,0.074942,0.107662,0.001
21,0.002136,0.075081,0.107049,0.001
22,0.002119,0.075847,0.107184,0.001
23,0.002118,0.074998,0.106726,0.001
24,0.002087,0.074244,0.106848,0.001
25,0.00209,0.074458,0.106537,0.001
26,0.002061,0.074031,0.106623,0.001
27,0.002058,0.074445,0.106341,0.001
28,0.002044,0.074929,0.106335,0.001
29,0.002035,0.073734,0.106325,0.001
30,0.002019,0.073994,0.106008,0.001
31,0.002019,0.075054,0.106351,0.001
32,0.002,0.0737,0.105754,0.001
33,0.001998,0.073757,0.105773,0.001
34,0.001986,0.074137,0.105864,0.001
35,0.001975,0.073219,0.106219,0.001
36,0.001967,0.073206,0.105517,0.001
37,0.001963,0.074201,0.10571,0.001
38,0.001958,0.073155,0.105593,0.001
39,0.001946,0.073758,0.105459,0.001
40,0.001937,0.073283,0.105498,0.001
41,0.001936,0.072773,0.105696,0.001
42,0.001932,0.073151,0.105098,0.001
43,0.001914,0.072649,0.105327,0.001
44,0.001908,0.073597,0.105302,0.001
45,0.001905,0.074266,0.105471,0.001
46,0.001898,0.073136,0.105264,0.001
47,0.001898,0.073036,0.105478,0.001
48,0.001885,0.072643,0.10509,0.001
49,0.00188,0.07267,0.10515,0.001
50,0.001872,0.072681,0.105063,0.001
51,0.001876,0.072911,0.105981,0.001
52,0.001862,0.073154,0.104948,0.001
53,0.001861,0.072983,0.10492,0.001
