epoch,train_loss,val_mae,val_rmse,lr
1,0.007213,0.059914,0.081045,0.001
2,0.001591,0.043613,0.062452,0.001
3,0.001008,0.033501,0.048194,0.001
4,0.000718,0.029935,0.047315,0.001
5,0.000565,0.024278,0.035191,0.001
6,0.000466,0.022769,0.033358,0.001
7,0.000407,0.021223,0.032582,0.001
8,0.000359,0.019461,0.029105,0.001
9,0.000321,0.020107,0.032418,0.001
10,0.000296,0.018065,0.026993,0.001
11,0.000271,0.017126,0.026005,0.001
12,0.000247,0.017852,0.026106,0.001
13,0.000238,0.017231,0.027832,0.001
14,0.000221,0.016465,0.025836,0.001
15,0.000212,0.015395,0.023658,0.001
16,0.000197,0.017261,0.026117,0.001
17,0.00019,0.014991,0.023808,0.001
18,0.000184,0.014237,0.02245,0.001
19,0.000175,0.014008,0.022099,0.001
20,0.000167,0.015011,0.022982,0.001
21,0.000166,0.016046,0.025365,0.001
22,0.000156,0.014416,0.023073,0.001
23,0.000148,0.01547,0.024704,0.001
24,0.000147,0.01408,0.022006,0.001
25,0.000136,0.013528,0.021546,0.001
26,0.000143,0.012763,0.020543,0.001
27,0.000137,0.013107,0.020529,0.001
28,0.000127,0.011768,0.019709,0.001
29,0.000128,0.01278,0.020398,0.001
30,0.000119,0.013175,0.020836,0.001
31,0.000126,0.01518,0.023321,0.001
32,0.000115,0.012602,0.021394,0.001
33,0.00011,0.012013,0.019611,0.001
34,0.000113,0.011501,0.019256,0.001
35,0.000109,0.014873,0.022493,0.001
36,0.000106,0.011219,0.019358,0.001
37,0.000111,0.01375,0.02129,0.001
38,9.9e-05,0.010928,0.018848,0.001
39,0.000102,0.011168,0.018805,0.001
40,0.0001,0.011025,0.018691,0.001
41,0.000109,0.012056,0.019701,0.001
42,8.9e-05,0.012073,0.019509,0.001
43,9.2e-05,0.010288,0.018127,0.001
44,9e-05,0.010599,0.018538,0.001
45,8.9e-05,0.010004,0.017939,0.001
46,9e-05,0.010999,0.018697,0.001
