epoch,train_loss,val_mae,val_rmse,lr
1,0.005769,0.029159,0.130729,0.001
2,0.001523,0.02803,0.129891,0.001
3,0.001223,0.026576,0.126076,0.001
4,0.001095,0.026004,0.124151,0.001
5,0.001053,0.025933,0.123386,0.001
6,0.001037,0.025952,0.123179,0.001
7,0.001027,0.025995,0.123155,0.001
8,0.00102,0.026163,0.122928,0.001
9,0.001015,0.025865,0.122874,0.001
10,0.00101,0.026153,0.122678,0.001
11,0.001006,0.026036,0.122635,0.001
12,0.001003,0.026276,0.122481,0.001
13,0.000999,0.02629,0.122202,0.001
14,0.000997,0.025874,0.122599,0.001
15,0.000994,0.025915,0.122515,0.001
16,0.000992,0.026157,0.122081,0.001
17,0.000991,0.026058,0.122194,0.001
18,0.00099,0.026057,0.1221,0.001
19,0.000988,0.026305,0.121948,0.001
20,0.000987,0.026369,0.122088,0.0005
21,0.000986,0.0262,0.121759,0.0005
22,0.000986,0.026008,0.121822,0.0005
23,0.000985,0.025673,0.122206,0.0005
24,0.000985,0.025702,0.121897,0.0005
25,0.000984,0.025814,0.121985,0.0005
26,0.000984,0.025837,0.121865,0.0005
27,0.000983,0.025737,0.121927,0.0005
28,0.000983,0.026139,0.121384,0.0005
29,0.000982,0.025911,0.121705,0.0005
30,0.000982,0.025888,0.121775,0.0005
31,0.000981,0.025641,0.121771,0.0005
32,0.000981,0.02562,0.121876,0.0005
33,0.00098,0.025964,0.121457,0.0005
34,0.00098,0.025809,0.121651,0.0005
35,0.00098,0.025603,0.121728,0.0005
36,0.000979,0.02574,0.121631,0.0005
37,0.000979,0.025875,0.12177,0.0005
38,0.000978,0.025731,0.121569,0.0005
39,0.000978,0.025805,0.121364,0.0005
40,0.000977,0.025969,0.121411,0.0005
41,0.000977,0.025471,0.121662,0.0005
42,0.000977,0.025459,0.121946,0.0005
43,0.000976,0.025589,0.121415,0.0005
44,0.000976,0.025691,0.121662,0.0005
45,0.000976,0.026076,0.121564,0.0005
46,0.000975,0.025407,0.121627,0.0005
47,0.000975,0.025442,0.121537,0.0005
48,0.000974,0.025755,0.121221,0.0005
49,0.000974,0.025919,0.121295,0.0005
50,0.000973,0.025669,0.121639,0.0005
51,0.000973,0.025947,0.12115,0.0005
52,0.000972,0.025179,0.121381,0.0005
53,0.000972,0.02611,0.12137,0.0005
54,0.000972,0.025888,0.121415,0.0005
55,0.000971,0.025459,0.121422,0.0005
56,0.00097,0.025531,0.121281,0.0005
57,0.00097,0.026175,0.121478,0.0005
58,0.00097,0.025668,0.121522,0.0005
59,0.000969,0.025878,0.121234,0.0005
60,0.000969,0.025179,0.121346,0.0005
61,0.000968,0.025566,0.121674,0.0005
62,0.000968,0.025571,0.121297,0.0005
63,0.000967,0.025278,0.121603,0.00025
64,0.000965,0.026018,0.121148,0.00025
65,0.000965,0.025499,0.121392,0.00025
66,0.000964,0.025799,0.121264,0.00025
67,0.000964,0.025258,0.121559,0.00025
68,0.000964,0.025746,0.121248,0.00025
69,0.000963,0.025245,0.121507,0.00025
70,0.000963,0.025757,0.121502,0.00025
71,0.000962,0.025538,0.121414,0.00025
72,0.000962,0.025846,0.121135,0.00025
73,0.000961,0.025343,0.121398,0.00025
74,0.000961,0.026033,0.12124,0.000125
75,0.00096,0.0263,0.121114,0.000125
76,0.000959,0.026295,0.121259,0.000125
77,0.000959,0.026194,0.121332,0.000125
