epoch,train_loss,val_mae,val_rmse,lr
1,0.007477,0.0527,0.068742,0.001
2,0.002006,0.048115,0.063663,0.001
3,0.001656,0.045144,0.060358,0.001
4,0.001445,0.04355,0.058771,0.001
5,0.001314,0.042884,0.058105,0.001
6,0.001232,0.041545,0.0566,0.001
7,0.001179,0.041501,0.056817,0.001
8,0.001138,0.041826,0.056905,0.001
9,0.001109,0.040122,0.054995,0.001
10,0.001089,0.042451,0.058378,0.001
11,0.001062,0.03996,0.054992,0.001
12,0.001041,0.040345,0.055732,0.001
13,0.001026,0.040523,0.05494,0.001
14,0.001008,0.039836,0.054245,0.001
15,0.001003,0.039085,0.053892,0.001
16,0.000978,0.039763,0.054137,0.001
17,0.000973,0.038805,0.053168,0.001
18,0.000961,0.0388,0.053373,0.001
19,0.000943,0.038419,0.053223,0.001
20,0.000942,0.038089,0.052541,0.001
21,0.000928,0.039722,0.054048,0.001
22,0.000922,0.038056,0.052346,0.001
23,0.000911,0.03806,0.052358,0.001
24,0.000899,0.037476,0.051836,0.001
25,0.000899,0.037812,0.052128,0.001
26,0.000887,0.037312,0.051772,0.001
27,0.000882,0.037412,0.051822,0.001
28,0.000873,0.037063,0.051604,0.001
29,0.000874,0.038012,0.05203,0.001
30,0.000869,0.036769,0.051236,0.001
31,0.000852,0.037112,0.05127,0.001
32,0.00085,0.037649,0.05176,0.001
33,0.000845,0.037016,0.051191,0.001
34,0.000842,0.037625,0.051703,0.001
35,0.000838,0.036533,0.051002,0.001
36,0.000834,0.036474,0.050658,0.001
37,0.000824,0.036989,0.051116,0.001
38,0.000826,0.036413,0.050975,0.001
39,0.000818,0.036776,0.050853,0.001
40,0.000812,0.036478,0.050484,0.001
41,0.000811,0.036371,0.05104,0.001
42,0.000816,0.036086,0.050329,0.001
43,0.000801,0.036652,0.050579,0.001
44,0.000798,0.036069,0.050235,0.001
45,0.000801,0.035981,0.050144,0.001
46,0.000791,0.036165,0.050738,0.001
47,0.000792,0.03671,0.050566,0.001
48,0.000787,0.035911,0.050214,0.001
49,0.000786,0.036443,0.050495,0.001
50,0.00078,0.035988,0.050149,0.001
51,0.000777,0.035768,0.050182,0.001
52,0.000774,0.035828,0.04982,0.001
53,0.000771,0.03616,0.050754,0.001
54,0.000771,0.03625,0.050174,0.001
55,0.000764,0.035711,0.050062,0.001
56,0.000766,0.035718,0.049672,0.001
57,0.000758,0.036615,0.050432,0.001
58,0.000765,0.035388,0.049512,0.001
59,0.000753,0.035126,0.049375,0.001
60,0.000751,0.035826,0.049719,0.001
61,0.000753,0.036105,0.050167,0.001
62,0.000751,0.037013,0.050827,0.001
63,0.000749,0.03597,0.049958,0.001
64,0.000742,0.035231,0.04925,0.001
65,0.00074,0.036649,0.050376,0.001
66,0.000764,0.035558,0.049533,0.001
67,0.000735,0.035113,0.049395,0.001
68,0.000736,0.03661,0.050383,0.001
69,0.00073,0.035178,0.049215,0.001
70,0.000729,0.035214,0.049594,0.001
71,0.000736,0.035611,0.049494,0.001
72,0.000728,0.035847,0.049708,0.001
73,0.00073,0.035774,0.049613,0.001
74,0.000724,0.034974,0.049135,0.001
75,0.000725,0.035212,0.049205,0.001
76,0.000719,0.035134,0.04971,0.001
77,0.00074,0.035179,0.049257,0.001
78,0.000717,0.03467,0.04889,0.001
79,0.000715,0.034874,0.049118,0.001
80,0.000714,0.035614,0.04955,0.001
81,0.000713,0.035547,0.049743,0.001
82,0.000717,0.035021,0.049194,0.001
83,0.000709,0.034967,0.049073,0.001
84,0.000707,0.035237,0.049247,0.001
85,0.000708,0.035029,0.049297,0.001
86,0.000706,0.035138,0.049045,0.001
87,0.000707,0.034982,0.049097,0.001
88,0.0007,0.035757,0.049626,0.001
89,0.000704,0.036474,0.050196,0.0005
90,0.000694,0.035301,0.049309,0.0005
91,0.000689,0.034978,0.049098,0.0005
92,0.000688,0.034877,0.049021,0.0005
93,0.000688,0.034599,0.048858,0.0005
94,0.000687,0.034998,0.049054,0.0005
95,0.000686,0.034836,0.048947,0.0005
96,0.000686,0.035066,0.049109,0.0005
97,0.000685,0.035151,0.049333,0.0005
98,0.000685,0.034731,0.048953,0.0005
99,0.000684,0.036025,0.04984,0.0005
100,0.000685,0.035102,0.049239,0.0005
101,0.000683,0.035274,0.049222,0.0005
102,0.000683,0.035636,0.049611,0.0005
103,0.000682,0.035542,0.049448,0.0005
104,0.000681,0.035165,0.049124,0.00025
105,0.000677,0.035344,0.049274,0.00025
106,0.000676,0.035486,0.049402,0.00025
107,0.000675,0.035349,0.049311,0.00025
108,0.000675,0.034926,0.049038,0.00025
109,0.000675,0.035474,0.049391,0.00025
110,0.000674,0.035336,0.049313,0.00025
111,0.000674,0.035156,0.049163,0.00025
112,0.000674,0.035152,0.049195,0.00025
113,0.000673,0.035068,0.049134,0.00025
114,0.000673,0.034976,0.049123,0.00025
115,0.000673,0.035845,0.049727,0.000125
116,0.00067,0.035387,0.049376,0.000125
117,0.00067,0.03521,0.049244,0.000125
118,0.00067,0.035458,0.049402,0.000125
