epoch,train_loss,val_mae,val_rmse,lr
1,0.00732,0.053893,0.105264,0.001
2,0.002467,0.051815,0.104553,0.001
3,0.002215,0.051489,0.104094,0.001
4,0.002054,0.051699,0.103863,0.001
5,0.001952,0.050741,0.103876,0.001
6,0.001885,0.050576,0.104203,0.001
7,0.001831,0.050248,0.103831,0.001
8,0.001786,0.050694,0.10577,0.001
9,0.001744,0.050177,0.103304,0.001
10,0.0017,0.049727,0.103376,0.001
11,0.001664,0.049444,0.102829,0.001
12,0.001638,0.051199,0.105498,0.001
13,0.001619,0.051836,0.101911,0.001
14,0.001605,0.049574,0.10238,0.001
15,0.001585,0.049707,0.102104,0.001
16,0.001581,0.049738,0.101881,0.001
17,0.001558,0.048897,0.103869,0.001
18,0.001549,0.049885,0.101608,0.001
19,0.001544,0.050273,0.103138,0.001
20,0.001536,0.048256,0.102247,0.001
21,0.001529,0.049487,0.101674,0.001
22,0.001523,0.052092,0.10206,0.001
23,0.001527,0.048801,0.102164,0.001
24,0.001498,0.049343,0.101617,0.001
25,0.001501,0.04911,0.101551,0.001
26,0.001496,0.049945,0.102142,0.001
27,0.001488,0.050374,0.102184,0.001
28,0.001488,0.049482,0.101622,0.001
29,0.001476,0.048494,0.10265,0.001
30,0.001473,0.047909,0.102377,0.001
31,0.001468,0.048384,0.103064,0.001
32,0.001467,0.04945,0.102094,0.001
33,0.001459,0.054814,0.101557,0.001
34,0.001485,0.049527,0.101865,0.001
35,0.001449,0.049982,0.102157,0.001
36,0.001446,0.048183,0.10128,0.001
37,0.001443,0.049006,0.102955,0.001
38,0.00144,0.048073,0.102565,0.001
39,0.001434,0.048971,0.101876,0.001
40,0.001434,0.049071,0.101746,0.001
41,0.001432,0.049749,0.101064,0.0005
42,0.001411,0.047775,0.102151,0.0005
43,0.001404,0.047921,0.103407,0.0005
44,0.001403,0.047771,0.102117,0.0005
45,0.0014,0.048064,0.102652,0.0005
46,0.001399,0.047808,0.103112,0.0005
47,0.001398,0.047827,0.102248,0.0005
48,0.001395,0.048856,0.101865,0.0005
49,0.001394,0.047754,0.102413,0.0005
50,0.001393,0.048486,0.103455,0.0005
51,0.001391,0.047702,0.102537,0.0005
52,0.00139,0.047756,0.10343,0.0005
53,0.001387,0.048493,0.101855,0.0005
54,0.001386,0.048254,0.104519,0.0005
55,0.001394,0.049402,0.106063,0.0005
56,0.001382,0.047918,0.101774,0.0005
57,0.001382,0.048123,0.102831,0.0005
58,0.001379,0.048158,0.103347,0.0005
59,0.001378,0.048908,0.103474,0.0005
60,0.001374,0.048385,0.104227,0.0005
61,0.001373,0.047779,0.102757,0.0005
62,0.00137,0.047952,0.102842,0.00025
63,0.001358,0.047722,0.103045,0.00025
64,0.001355,0.048239,0.103116,0.00025
65,0.001353,0.047788,0.10246,0.00025
66,0.001353,0.047952,0.102506,0.00025
67,0.001351,0.047722,0.102478,0.00025
68,0.001351,0.047879,0.103161,0.00025
69,0.001349,0.047925,0.10365,0.00025
70,0.001348,0.048178,0.102865,0.00025
71,0.001347,0.048204,0.103287,0.00025
72,0.001345,0.048211,0.102986,0.00025
73,0.001343,0.047958,0.102793,0.000125
74,0.001336,0.048009,0.103311,0.000125
75,0.001335,0.048052,0.102975,0.000125
76,0.001334,0.047789,0.103078,0.000125
