epoch,train_loss,val_mae,val_rmse,lr
1,0.008301,0.08571,0.118604,0.001
2,0.003419,0.083924,0.116823,0.001
3,0.003045,0.082253,0.115374,0.001
4,0.002776,0.080886,0.113659,0.001
5,0.002599,0.080095,0.112395,0.001
6,0.002492,0.079415,0.112294,0.001
7,0.002396,0.078511,0.110845,0.001
8,0.002338,0.078282,0.110456,0.001
9,0.002281,0.078104,0.109918,0.001
10,0.002242,0.078398,0.110954,0.001
11,0.002198,0.076421,0.108593,0.001
12,0.002167,0.076572,0.109177,0.001
13,0.002136,0.07646,0.108044,0.001
14,0.002107,0.075805,0.108642,0.001
15,0.00208,0.075695,0.108837,0.001
16,0.002061,0.076599,0.109588,0.001
17,0.002039,0.076984,0.110565,0.001
18,0.002016,0.07486,0.107271,0.001
19,0.002,0.075752,0.107817,0.001
20,0.001977,0.074594,0.106923,0.001
21,0.001962,0.076763,0.11031,0.001
22,0.001952,0.074536,0.107046,0.001
23,0.001937,0.074442,0.107521,0.001
24,0.00192,0.0741,0.107223,0.001
25,0.001903,0.074507,0.106928,0.001
26,0.0019,0.074437,0.107776,0.001
27,0.001888,0.074465,0.106848,0.001
28,0.001869,0.073879,0.106441,0.001
29,0.001862,0.075799,0.107051,0.001
30,0.001846,0.074236,0.106472,0.001
31,0.001845,0.074476,0.106418,0.001
32,0.001836,0.074114,0.106494,0.001
33,0.001819,0.073536,0.106288,0.001
34,0.001821,0.074081,0.106049,0.001
35,0.001806,0.074292,0.106142,0.001
36,0.001796,0.073299,0.10624,0.001
37,0.001791,0.074661,0.106367,0.001
38,0.001779,0.073553,0.106785,0.001
39,0.001775,0.074868,0.106695,0.001
40,0.001772,0.073479,0.105917,0.001
41,0.001755,0.07315,0.105972,0.001
42,0.001761,0.07357,0.10672,0.001
43,0.001742,0.073373,0.106313,0.001
44,0.001732,0.073315,0.105931,0.001
45,0.001785,0.073175,0.106196,0.001
46,0.001727,0.073267,0.106459,0.001
47,0.001723,0.073177,0.10583,0.001
48,0.00171,0.073272,0.105856,0.001
49,0.001709,0.07336,0.106467,0.001
50,0.001705,0.073297,0.106544,0.001
51,0.001692,0.073262,0.105757,0.001
52,0.00169,0.073263,0.106103,0.0005
53,0.001657,0.073131,0.105947,0.0005
54,0.001651,0.073114,0.106095,0.0005
55,0.001648,0.073228,0.106117,0.0005
56,0.001644,0.073117,0.106131,0.0005
57,0.001642,0.073328,0.10602,0.0005
58,0.001638,0.073379,0.106148,0.0005
59,0.001636,0.073272,0.106092,0.0005
60,0.001632,0.073186,0.106048,0.0005
61,0.001629,0.073495,0.106535,0.0005
62,0.001628,0.073228,0.106511,0.0005
63,0.001625,0.073346,0.106396,0.0005
64,0.001621,0.073241,0.106184,0.0005
65,0.001618,0.073432,0.107047,0.00025
66,0.001602,0.073191,0.106349,0.00025
67,0.001597,0.073175,0.106353,0.00025
68,0.001595,0.073322,0.106305,0.00025
69,0.001593,0.073303,0.106524,0.00025
70,0.00159,0.073278,0.106367,0.00025
71,0.00159,0.07329,0.106613,0.00025
72,0.001587,0.073324,0.106592,0.00025
73,0.001585,0.073609,0.106355,0.00025
74,0.001583,0.073438,0.106523,0.00025
75,0.00158,0.073471,0.106598,0.00025
76,0.001579,0.073345,0.106446,0.000125
77,0.001569,0.073372,0.106556,0.000125
78,0.001567,0.073276,0.106588,0.000125
79,0.001565,0.073388,0.106569,0.000125
