epoch,train_loss,val_mae,val_rmse,lr
1,0.007129,0.059322,0.081708,0.001
2,0.00135,0.039993,0.058998,0.001
3,0.000821,0.031213,0.048596,0.001
4,0.000582,0.024208,0.037079,0.001
5,0.000451,0.02308,0.03662,0.001
6,0.000371,0.023736,0.036676,0.001
7,0.000332,0.019956,0.034361,0.001
8,0.000297,0.020232,0.030331,0.001
9,0.000246,0.016331,0.025637,0.001
10,0.000222,0.015791,0.025057,0.001
11,0.000206,0.016789,0.025498,0.001
12,0.000202,0.014428,0.023332,0.001
13,0.000174,0.016603,0.024918,0.001
14,0.000172,0.015121,0.023294,0.001
15,0.00017,0.015636,0.025804,0.001
16,0.000161,0.013085,0.0217,0.001
17,0.000135,0.014391,0.024588,0.001
18,0.000134,0.01382,0.022049,0.001
19,0.000127,0.0161,0.025136,0.001
20,0.000127,0.013461,0.021581,0.001
21,0.000126,0.020098,0.027859,0.001
22,0.000133,0.012473,0.020398,0.001
23,0.000118,0.01527,0.022518,0.001
24,0.000119,0.014691,0.022126,0.001
25,0.000102,0.015156,0.022485,0.001
26,0.000103,0.01508,0.022328,0.001
27,0.000108,0.012074,0.019933,0.001
28,8.9e-05,0.01324,0.020882,0.001
29,9.6e-05,0.012301,0.020427,0.001
30,9.3e-05,0.013883,0.020785,0.001
31,9.6e-05,0.011746,0.020122,0.001
32,8.7e-05,0.011668,0.019688,0.001
33,8.7e-05,0.012957,0.020141,0.001
34,8.9e-05,0.011186,0.019008,0.001
35,8.1e-05,0.011557,0.019197,0.001
36,7.7e-05,0.011636,0.019122,0.001
37,8.9e-05,0.012543,0.02003,0.001
38,7.9e-05,0.010937,0.018751,0.001
39,7.7e-05,0.013072,0.019913,0.001
40,0.000379,0.014465,0.02307,0.001
41,0.0001,0.01336,0.021293,0.001
42,8.8e-05,0.01157,0.01933,0.001
43,7.9e-05,0.011711,0.01931,0.001
44,7.4e-05,0.011,0.019263,0.001
45,7e-05,0.01101,0.019042,0.001
46,7.3e-05,0.010461,0.018305,0.001
47,7.1e-05,0.010982,0.019165,0.001
48,7.1e-05,0.01101,0.018445,0.001
49,6.4e-05,0.012381,0.019115,0.001
50,7.8e-05,0.010343,0.017936,0.001
51,6.5e-05,0.015331,0.021696,0.001
52,8.5e-05,0.010092,0.017951,0.001
53,5.6e-05,0.010381,0.018044,0.001
54,5.9e-05,0.010451,0.017734,0.001
55,6.3e-05,0.010866,0.01823,0.001
56,5.6e-05,0.012926,0.019622,0.001
57,7.9e-05,0.009904,0.017648,0.001
58,5.7e-05,0.009852,0.017494,0.001
59,5.6e-05,0.00999,0.01797,0.001
60,6.4e-05,0.010367,0.018104,0.001
61,5.7e-05,0.009558,0.017265,0.001
62,5.6e-05,0.009535,0.017264,0.001
63,5.6e-05,0.017998,0.023767,0.001
64,8.4e-05,0.009715,0.017266,0.001
65,5.1e-05,0.01425,0.020292,0.001
66,7.2e-05,0.010184,0.017552,0.001
67,4.7e-05,0.010873,0.018806,0.001
68,4.8e-05,0.009511,0.017298,0.001
69,4.8e-05,0.010666,0.017548,0.001
70,5.4e-05,0.009326,0.01696,0.001
71,5e-05,0.009166,0.016757,0.001
72,4.8e-05,0.009158,0.016761,0.001
73,5.2e-05,0.009998,0.017368,0.001
74,9.6e-05,0.009245,0.017027,0.001
75,4.9e-05,0.009032,0.016689,0.001
76,4.4e-05,0.008899,0.016557,0.001
77,4.4e-05,0.010347,0.017421,0.001
78,5e-05,0.010572,0.01765,0.001
79,5.1e-05,0.008915,0.016497,0.001
80,4.4e-05,0.01076,0.017601,0.001
81,5.1e-05,0.011792,0.018229,0.001
82,4.9e-05,0.010093,0.017008,0.001
83,4.6e-05,0.009026,0.016577,0.001
84,4.4e-05,0.009467,0.016812,0.001
85,4.5e-05,0.012952,0.019192,0.001
86,0.00022,0.011613,0.019324,0.001
87,6.2e-05,0.009509,0.017402,0.0005
88,4.9e-05,0.009154,0.017004,0.0005
89,4.6e-05,0.009066,0.016914,0.0005
90,4.4e-05,0.008933,0.016697,0.0005
91,4.3e-05,0.008823,0.016554,0.0005
92,4.2e-05,0.008937,0.016793,0.0005
93,4.1e-05,0.008679,0.016483,0.0005
94,4.1e-05,0.008574,0.016396,0.0005
95,3.9e-05,0.008544,0.016343,0.0005
96,3.8e-05,0.008714,0.016434,0.0005
97,3.8e-05,0.009005,0.016595,0.0005
98,3.8e-05,0.008658,0.016618,0.0005
99,3.7e-05,0.009045,0.016509,0.0005
100,3.7e-05,0.009131,0.016568,0.0005
101,3.9e-05,0.008622,0.016232,0.0005
102,3.7e-05,0.010546,0.017635,0.0005
103,3.7e-05,0.009365,0.016703,0.0005
104,3.6e-05,0.010163,0.017374,0.0005
105,3.8e-05,0.008795,0.01645,0.0005
106,3.5e-05,0.008189,0.016045,0.0005
107,3.6e-05,0.008358,0.016065,0.0005
108,3.4e-05,0.009602,0.016736,0.0005
109,3.7e-05,0.008634,0.016272,0.0005
110,3.6e-05,0.008596,0.016284,0.0005
111,3.5e-05,0.008937,0.016482,0.0005
112,3.4e-05,0.008223,0.016134,0.0005
113,3.5e-05,0.010264,0.017186,0.0005
114,3.6e-05,0.008739,0.016376,0.0005
115,3.6e-05,0.009145,0.016551,0.0005
116,3.7e-05,0.008019,0.016006,0.0005
117,3.2e-05,0.007988,0.015953,0.0005
118,3.2e-05,0.008294,0.016036,0.0005
119,3.3e-05,0.007978,0.015941,0.0005
120,3.2e-05,0.008107,0.016161,0.0005
121,3.4e-05,0.009708,0.017161,0.0005
122,3.4e-05,0.009293,0.016515,0.0005
123,3.5e-05,0.008041,0.015949,0.0005
124,3.3e-05,0.008008,0.015904,0.0005
125,3.1e-05,0.008473,0.016305,0.0005
126,3.2e-05,0.008019,0.015926,0.0005
127,3.3e-05,0.009269,0.016668,0.0005
128,3.3e-05,0.008302,0.016189,0.0005
129,3.3e-05,0.007894,0.015906,0.0005
130,3e-05,0.008698,0.016419,0.0005
131,3.3e-05,0.007965,0.015781,0.0005
132,3e-05,0.009523,0.01683,0.0005
133,3.5e-05,0.010575,0.017502,0.0005
134,3.6e-05,0.008409,0.01612,0.0005
135,3e-05,0.008067,0.01594,0.0005
136,3e-05,0.008021,0.015961,0.0005
137,2.9e-05,0.007953,0.015865,0.0005
138,3.1e-05,0.010087,0.017223,0.0005
139,3.3e-05,0.008161,0.015987,0.0005
140,2.9e-05,0.008861,0.016399,0.00025
141,2.8e-05,0.007741,0.015674,0.00025
142,2.8e-05,0.008048,0.015893,0.00025
143,2.7e-05,0.007753,0.015755,0.00025
144,2.7e-05,0.007637,0.015695,0.00025
145,2.7e-05,0.007754,0.015663,0.00025
146,2.7e-05,0.007622,0.015635,0.00025
147,2.7e-05,0.007976,0.015805,0.00025
148,2.8e-05,0.007647,0.015626,0.00025
149,2.7e-05,0.007672,0.015679,0.00025
150,2.7e-05,0.007535,0.015573,0.00025
151,2.7e-05,0.007974,0.015756,0.00025
152,2.7e-05,0.008061,0.015887,0.00025
153,2.6e-05,0.007864,0.015789,0.00025
154,2.7e-05,0.007624,0.015634,0.00025
155,2.7e-05,0.007619,0.015619,0.00025
156,2.6e-05,0.008228,0.015997,0.00025
157,2.7e-05,0.007641,0.015669,0.00025
158,2.6e-05,0.007551,0.015571,0.00025
159,2.7e-05,0.008026,0.015814,0.00025
160,2.8e-05,0.007681,0.015608,0.00025
161,2.6e-05,0.007453,0.015488,0.00025
162,2.6e-05,0.008014,0.015808,0.00025
163,2.6e-05,0.007902,0.015751,0.00025
164,2.7e-05,0.007556,0.015575,0.00025
165,2.7e-05,0.008204,0.016007,0.00025
166,2.6e-05,0.00809,0.01583,0.00025
167,2.6e-05,0.007829,0.015718,0.00025
168,2.6e-05,0.007505,0.015527,0.00025
169,2.7e-05,0.007815,0.015739,0.00025
170,2.7e-05,0.007648,0.015584,0.00025
171,2.6e-05,0.007566,0.015578,0.00025
172,2.6e-05,0.007878,0.015725,0.000125
173,2.5e-05,0.007399,0.015395,0.000125
174,2.5e-05,0.007423,0.01552,0.000125
175,2.5e-05,0.007381,0.015455,0.000125
176,2.5e-05,0.007371,0.015388,0.000125
177,2.5e-05,0.007438,0.015444,0.000125
178,2.5e-05,0.007392,0.015403,0.000125
179,2.5e-05,0.007926,0.01569,0.000125
180,2.5e-05,0.007512,0.015505,0.000125
181,2.5e-05,0.007774,0.015691,0.000125
182,2.5e-05,0.007428,0.015467,0.000125
183,2.5e-05,0.007424,0.015414,0.000125
184,2.5e-05,0.007439,0.015502,0.000125
185,2.4e-05,0.007477,0.015452,0.000125
186,2.5e-05,0.007427,0.015466,0.000125
187,2.5e-05,0.007535,0.015463,6.25e-05
188,2.4e-05,0.007439,0.015415,6.25e-05
189,2.4e-05,0.00748,0.015461,6.25e-05
190,2.4e-05,0.007333,0.015388,6.25e-05
191,2.4e-05,0.007501,0.015488,6.25e-05
192,2.4e-05,0.00737,0.015404,6.25e-05
193,2.4e-05,0.007333,0.015406,6.25e-05
