epoch,train_loss,val_mae,val_rmse,lr
1,0.005352,0.028388,0.131064,0.001
2,0.001502,0.027896,0.128424,0.001
3,0.001235,0.026598,0.123704,0.001
4,0.001107,0.026235,0.12297,0.001
5,0.001055,0.026292,0.123032,0.001
6,0.001034,0.026405,0.122664,0.001
7,0.001024,0.026372,0.12265,0.001
8,0.001019,0.026629,0.122717,0.001
9,0.001014,0.026785,0.122533,0.001
10,0.00101,0.026685,0.122358,0.001
11,0.001007,0.026507,0.1222,0.001
12,0.001005,0.026188,0.122291,0.001
13,0.001003,0.026721,0.121962,0.001
14,0.001001,0.02658,0.121761,0.001
15,0.000999,0.026004,0.122119,0.001
16,0.000997,0.026811,0.122054,0.001
17,0.000995,0.026536,0.121466,0.001
18,0.000993,0.026472,0.121745,0.001
19,0.000992,0.026389,0.121665,0.001
20,0.00099,0.026444,0.121907,0.001
21,0.00099,0.026311,0.121577,0.001
22,0.000988,0.026864,0.121582,0.001
23,0.000987,0.026308,0.121642,0.001
24,0.000986,0.025598,0.121464,0.001
25,0.000985,0.026488,0.121339,0.001
26,0.000985,0.025577,0.121472,0.001
27,0.000987,0.025788,0.121256,0.001
28,0.000983,0.026336,0.121132,0.001
29,0.000983,0.02628,0.120749,0.001
30,0.000983,0.025671,0.120909,0.001
31,0.000981,0.025754,0.121153,0.001
32,0.000981,0.025512,0.12145,0.001
33,0.00098,0.026039,0.121386,0.001
34,0.00098,0.026404,0.12025,0.001
35,0.000979,0.026253,0.121292,0.001
36,0.000979,0.025863,0.121591,0.001
37,0.000978,0.02559,0.121873,0.001
38,0.000978,0.026905,0.120989,0.001
39,0.000978,0.025655,0.120924,0.001
40,0.000977,0.025384,0.121554,0.001
41,0.000977,0.026319,0.121048,0.001
42,0.000977,0.026603,0.120325,0.001
43,0.000976,0.025684,0.121157,0.001
44,0.000976,0.025272,0.120906,0.001
45,0.000975,0.025771,0.121032,0.001
46,0.000975,0.025537,0.1227,0.001
47,0.000975,0.025298,0.120853,0.001
48,0.000974,0.025471,0.121299,0.001
49,0.000974,0.026409,0.120567,0.001
50,0.000974,0.026068,0.120421,0.001
51,0.000973,0.025583,0.121066,0.001
52,0.000972,0.025187,0.121304,0.001
53,0.000972,0.025802,0.120874,0.001
54,0.000972,0.025987,0.120347,0.001
55,0.000972,0.026017,0.121018,0.001
56,0.000971,0.026366,0.120709,0.001
57,0.000971,0.02541,0.121153,0.001
58,0.00097,0.025279,0.121791,0.001
59,0.00097,0.026738,0.120715,0.001
60,0.00097,0.025964,0.12071,0.001
61,0.000969,0.025604,0.120316,0.001
62,0.000969,0.025552,0.121262,0.001
63,0.000969,0.026545,0.120099,0.0005
64,0.000966,0.025743,0.121929,0.0005
65,0.000966,0.025714,0.120868,0.0005
66,0.000965,0.025189,0.121699,0.0005
67,0.000965,0.026064,0.12064,0.0005
68,0.000965,0.025911,0.121017,0.0005
69,0.000964,0.026109,0.120923,0.0005
70,0.000965,0.026816,0.120426,0.0005
71,0.000964,0.025659,0.120899,0.0005
72,0.000964,0.025994,0.120403,0.0005
73,0.000963,0.025562,0.120699,0.0005
74,0.000963,0.026448,0.120327,0.00025
75,0.000961,0.025777,0.12081,0.00025
76,0.000961,0.025386,0.12116,0.00025
77,0.000961,0.025455,0.121091,0.00025
