epoch,train_loss,val_mae,val_rmse,lr
1,0.006873,0.051329,0.067788,0.001
2,0.001925,0.047916,0.063552,0.001
3,0.001576,0.045788,0.06151,0.001
4,0.001379,0.042775,0.057737,0.001
5,0.001247,0.042061,0.056733,0.001
6,0.001166,0.041297,0.05636,0.001
7,0.001103,0.04033,0.054889,0.001
8,0.00106,0.042228,0.057614,0.001
9,0.001025,0.039601,0.0542,0.001
10,0.000994,0.039246,0.053788,0.001
11,0.000971,0.039045,0.053356,0.001
12,0.000951,0.038744,0.053039,0.001
13,0.000932,0.038744,0.053073,0.001
14,0.000915,0.038516,0.052748,0.001
15,0.000902,0.038185,0.052892,0.001
16,0.00089,0.039028,0.053096,0.001
17,0.000877,0.038038,0.052428,0.001
18,0.000867,0.038679,0.052697,0.001
19,0.000864,0.0377,0.052375,0.001
20,0.000846,0.037395,0.05178,0.001
21,0.000833,0.037498,0.052127,0.001
22,0.000832,0.038438,0.053443,0.001
23,0.000827,0.0371,0.0515,0.001
24,0.000814,0.037371,0.052183,0.001
25,0.00081,0.036818,0.051211,0.001
26,0.000803,0.036607,0.050892,0.001
27,0.000791,0.037217,0.05203,0.001
28,0.000793,0.036591,0.050907,0.001
29,0.00079,0.03673,0.050854,0.001
30,0.000778,0.036268,0.050697,0.001
31,0.00077,0.036519,0.05122,0.001
32,0.000781,0.036232,0.050476,0.001
33,0.000761,0.037023,0.051195,0.001
34,0.00076,0.036356,0.050639,0.001
35,0.000756,0.036755,0.050794,0.001
36,0.000755,0.036338,0.050308,0.001
37,0.000748,0.035719,0.050198,0.001
38,0.000745,0.036065,0.050362,0.001
39,0.000737,0.036075,0.050126,0.001
40,0.000735,0.035858,0.050183,0.001
41,0.000732,0.035869,0.050281,0.001
42,0.000728,0.03658,0.05044,0.001
43,0.000739,0.036218,0.050746,0.001
44,0.000722,0.035522,0.050024,0.001
45,0.000717,0.035686,0.0498,0.001
46,0.000714,0.035477,0.049684,0.001
47,0.000713,0.035388,0.049679,0.001
48,0.000706,0.035523,0.050027,0.001
49,0.000715,0.035369,0.049662,0.001
50,0.000702,0.035376,0.049584,0.001
51,0.000703,0.035582,0.050128,0.001
52,0.000699,0.035147,0.049564,0.001
53,0.000698,0.035324,0.049527,0.001
54,0.000695,0.03623,0.050897,0.001
55,0.000707,0.035118,0.049382,0.001
56,0.000686,0.035437,0.049519,0.001
57,0.000687,0.035484,0.049903,0.001
58,0.000683,0.03515,0.049636,0.001
59,0.000685,0.036585,0.050699,0.001
60,0.000681,0.035282,0.049586,0.001
61,0.000678,0.036047,0.050688,0.001
62,0.000678,0.035309,0.049596,0.001
63,0.000676,0.034941,0.049432,0.001
64,0.00067,0.0354,0.04957,0.001
65,0.00067,0.035126,0.049339,0.001
66,0.000668,0.035051,0.049372,0.001
67,0.000667,0.035909,0.050067,0.001
68,0.000665,0.035782,0.049816,0.001
69,0.00066,0.035975,0.049939,0.001
70,0.000669,0.035358,0.049583,0.001
71,0.000664,0.035178,0.049435,0.001
72,0.000655,0.03507,0.049421,0.001
73,0.00065,0.034922,0.049396,0.001
74,0.000651,0.034982,0.049534,0.001
75,0.000652,0.035102,0.049494,0.001
76,0.000648,0.035211,0.049867,0.001
77,0.000645,0.034825,0.049295,0.001
78,0.000649,0.035031,0.049263,0.001
79,0.000643,0.035543,0.050027,0.001
80,0.00064,0.03513,0.049741,0.001
81,0.00064,0.035197,0.04982,0.001
82,0.000641,0.035612,0.050304,0.001
83,0.000636,0.036732,0.051601,0.001
84,0.000641,0.035207,0.049895,0.001
85,0.000634,0.035113,0.049705,0.001
86,0.000628,0.03513,0.049639,0.001
87,0.000627,0.035422,0.049647,0.001
88,0.000629,0.034923,0.049439,0.0005
89,0.000612,0.034846,0.049497,0.0005
90,0.00061,0.035054,0.049616,0.0005
91,0.000609,0.034907,0.049644,0.0005
92,0.000609,0.034925,0.049504,0.0005
93,0.000607,0.034916,0.049552,0.0005
94,0.000607,0.034845,0.049416,0.0005
95,0.000606,0.03496,0.049459,0.0005
96,0.000605,0.035138,0.049616,0.0005
97,0.000604,0.034916,0.049515,0.0005
98,0.000603,0.035165,0.049766,0.0005
99,0.000603,0.035083,0.049918,0.00025
100,0.000597,0.034898,0.049586,0.00025
101,0.000595,0.034911,0.049693,0.00025
102,0.000594,0.034924,0.049559,0.00025
