feature,gain,split
n01,293376883.9307747,31134
n02,233470894.77230835,21979
n03,133222148.22573662,18121
n04,91165546.8107853,15374
n05,65559743.77122879,14431
n06,60394845.73836517,12626
n07,32198207.216661453,9449
n08,25983962.582481384,6881
n09,21921676.127124786,4441
n12,5995279.449872971,2121
n10,5738867.259504318,2463
n11,3262167.2894649506,2275
n13,2929023.783662796,902
n14,2573374.0274295807,1052
n15,265525.60839271545,442
d01,252580.3674545288,2885
d02,244966.5636329651,3331
hour_sin,202197.2653617859,443
d03,161866.9766998291,2195
b01_cos,123318.72048568726,1539
b03_cos,101982.98230743408,1563
a01,100412.21818733215,1428
d04,98352.39310646057,1261
d05,69174.28126335144,927
b02_sin,64994.28587722778,1049
b01_sin,63999.16486930847,1102
d06,61739.364307403564,903
b03_sin,48132.4418296814,890
b04_sin,45297.201486587524,701
hour_cos,42752.43674659729,727
d07,39610.11385726929,674
d12,39479.36573219299,508
d13,38931.40215110779,491
d15,36141.34008598328,588
b05_sin,33857.32202911377,521
d08,33238.286600112915,592
a02,31492.415769577026,659
d10,30115.04843711853,539
d09,29366.065420150757,543
d14,28934.109342575073,491
d11,28859.67039871216,478
b02_cos,28839.789892196655,615
a03,22305.843425750732,428
doy_cos,22269.795684814453,522
doy_sin,21933.28560256958,440
b04_cos,19862.598262786865,370
b06_cos,17798.92098426819,318
b12_cos,17508.82122039795,207
b11_cos,17123.56304550171,254
b06_sin,16992.393878936768,291
b15_sin,15158.344388961792,252
a06,15093.235174179077,245
b10_sin,14492.762479782104,246
a05,14174.629396438599,239
b10_cos,13942.590173721313,248
b12_sin,13894.09941482544,219
a10,13440.069227218628,146
b14_cos,12516.491636276245,183
a08,12040.152780532837,225
b13_cos,11926.514604568481,186
b07_sin,11072.088418960571,247
b08_sin,10924.088314056396,234
a04,10533.771612167358,245
b05_cos,10160.440673828125,234
b15_cos,9947.68790435791,141
b09_cos,9661.834085464478,192
b11_sin,9642.630743026733,204
b09_sin,9056.354221343994,195
a15,8438.01636314392,181
b14_sin,8320.237531661987,152
a12,8011.84534072876,135
b08_cos,7515.617929458618,162
b13_sin,7467.772434234619,184
a07,7103.435708999634,150
a09,6572.28630065918,135
b07_cos,6393.856985092163,157
a14,6170.690280914307,98
a11,3960.9905796051025,68
a13,2988.753595352173,53
