feature,gain,split
n01,169255928.67658997,23252
n02,111030653.61764145,19513
n03,78625511.73917389,14474
n04,53289343.85689163,13661
n05,32045947.26625824,10798
n06,25925258.001220703,6577
n07,19560627.84853363,3423
n08,7833104.411270142,2915
n09,7104112.29152298,1231
n10,3460319.0930366516,1055
n11,1901148.1517333984,1025
n13,1412564.3071784973,244
n12,667778.3101882935,508
a04,481235.61937332153,4509
a02,446103.6489906311,4882
a01,436617.5665588379,5355
n14,316951.28076171875,213
a05,282136.38484573364,2979
a03,270804.189907074,2934
a06,164794.20042419434,2064
doy_sin,100625.67613601685,9
d01,67210.13921356201,1027
a07,52101.73192977905,600
d15,40307.79482650757,513
d05,39979.65432357788,611
n15,39246.386417388916,125
a08,36075.719371795654,406
d09,34234.228984832764,457
d14,33941.213523864746,419
b01_cos,31603.52769470215,489
d04,29669.447315216064,463
d03,27493.61979675293,385
d06,27232.10870361328,386
d13,25351.89182281494,315
d11,25298.513069152832,348
d12,22913.615146636963,309
b02_sin,22824.09902191162,399
d07,21448.664218902588,295
b02_cos,20786.380096435547,314
d02,20730.04175567627,350
b04_cos,20176.94041442871,333
d10,19620.328197479248,262
d08,19260.524932861328,257
b01_sin,16570.51513671875,276
hour_sin,15087.98108291626,217
b03_cos,13124.218612670898,212
b03_sin,11235.565769195557,188
a13,8635.394821166992,97
a15,8103.574787139893,107
a14,8021.502143859863,111
a12,8006.943965911865,93
b04_sin,7518.624496459961,126
b05_cos,7320.84659576416,128
b06_sin,6168.390319824219,98
a09,5874.255638122559,84
a11,5530.9303855896,73
b06_cos,5317.882907867432,92
a10,5015.97599029541,49
b08_cos,4524.440402984619,72
b05_sin,4309.381004333496,81
b10_sin,3290.8802909851074,53
b09_sin,3057.5725898742676,41
b07_sin,2692.6603965759277,43
b08_sin,1865.6909980773926,32
b07_cos,1308.315601348877,24
b14_cos,1193.52738571167,19
b12_cos,1103.0292167663574,8
doy_cos,1096.9845924377441,15
b13_cos,1016.2460136413574,14
b15_cos,1011.7261085510254,6
b13_sin,847.180908203125,11
b09_cos,809.7792167663574,5
b14_sin,776.3318862915039,6
b12_sin,602.5268974304199,10
b11_sin,581.0344047546387,11
hour_cos,547.4839935302734,3
b15_sin,533.8929061889648,10
b10_cos,483.5275993347168,6
b11_cos,431.4299964904785,5
