feature,gain,split
n01,335970885.03310776,25065
n02,209069278.2306099,19926
a01,135012842.90711975,35975
a02,118469717.11057281,30383
n03,107222247.94854736,13901
a03,77965411.60001755,22379
n04,60885382.278030396,8778
a04,47622461.427799225,14174
n05,47020090.3494606,6821
a05,36531558.299568176,11601
n06,32201554.74028778,4992
a06,27802714.377182007,9041
a07,17780449.7183609,6223
n07,16167247.659439087,3870
n09,12822233.958557129,2173
a09,12069041.929504395,4174
d01,10934054.042232513,9278
d02,8078476.648391724,6419
a11,7589152.270782471,2720
b01_sin,7021090.646549225,9587
a08,6181892.660293579,3644
n11,5547152.968162537,1256
a10,5397892.75,2656
b01_cos,5228891.722686768,9233
b02_sin,4835318.0764808655,7466
a12,4743687.3907547,1981
d03,4397740.804489136,4801
b02_cos,4323489.150695801,6693
n10,3867931.4739990234,1395
d05,3837229.5820846558,3485
d04,3605686.9163970947,4022
a15,3524507.8191604614,1697
a13,3260355.8560791016,1513
d06,3253115.7626342773,2882
b03_cos,3193903.6781539917,5337
n08,3189810.732509613,2047
b03_sin,2939429.0827789307,5597
a14,2787728.18359375,1546
d10,1853081.2666625977,1757
d08,1810654.834777832,2100
n12,1756914.674255371,980
b04_sin,1725170.0960998535,3651
b04_cos,1724177.8073730469,3567
d09,1682494.5319137573,1921
d07,1584990.8310928345,2378
b05_sin,1539296.408378601,2787
d11,1275810.660987854,1637
d14,1252215.7467803955,1618
d13,1232506.3521347046,1591
d15,1149415.63407135,1726
b05_cos,1087753.687385559,2562
b06_sin,1069107.6610412598,2039
d12,1046000.3668441772,1554
n13,962257.806564331,552
n15,839785.474571228,783
b06_cos,705045.5239257812,1779
b07_cos,541722.5448532104,1234
n14,540415.1391906738,537
b07_sin,526168.0921783447,1315
b09_sin,368781.229927063,632
b08_sin,310390.4418258667,792
b08_cos,258218.83362579346,728
b12_sin,224757.16647338867,359
b09_cos,219911.09922027588,636
b10_sin,190238.9946899414,479
b10_cos,156556.73258972168,438
b11_sin,144008.29781341553,325
b13_sin,108675.93486785889,241
b11_cos,100615.14261627197,273
b12_cos,100317.91397094727,243
b15_sin,96556.90998077393,188
b14_sin,94860.63648986816,224
b14_cos,86436.00479888916,175
b13_cos,54103.650535583496,174
hour_sin,35066.0330657959,177
b15_cos,30634.208961486816,122
doy_cos,5010.545097351074,35
hour_cos,0.0,0
doy_sin,0.0,0
