feature,gain,split
n01,173936803.07873535,1012
n02,108222740.61871338,1116
n03,62895305.860809326,1264
n04,54797228.86175537,1228
n05,27305949.53781128,1485
n06,19155931.435394287,1472
n07,16728606.534362793,1226
doy_cos,13942264.764068604,1508
n08,13142643.17755127,1066
doy_sin,6929336.202056885,1493
n09,6397259.2796936035,827
d15,5968161.204284668,604
d14,5135443.746459961,506
hour_sin,4363167.617095947,1879
n11,4107504.516479492,489
n10,4104976.235534668,576
n12,3225608.0309143066,497
d12,2355000.2286071777,402
d13,2173899.0501098633,433
hour_cos,2143966.9627075195,1594
n14,1915380.7510375977,418
n13,1863201.713104248,462
d11,1827713.0538330078,296
d10,1203253.0705566406,218
d01,1080382.099029541,749
n15,1067804.4383544922,437
d03,958742.4259338379,477
d02,636519.7398681641,453
d04,634098.4599914551,365
a04,523579.6184692383,390
d09,419013.1828613281,149
d05,404221.44717407227,245
a01,393680.1191711426,529
a02,355184.1047973633,448
a05,342361.61099243164,285
d08,307936.60333251953,130
a03,295887.1318054199,344
d07,260677.29718017578,166
d06,244732.82431030273,216
a06,239870.12860107422,262
a07,127764.27032470703,154
a09,110276.07302856445,151
b02_cos,104463.73168945312,186
b03_cos,99327.34405517578,146
a08,95385.69412231445,142
b01_cos,88314.72985839844,153
b10_sin,83908.72595214844,100
b05_sin,82772.19519042969,125
b02_sin,80852.89709472656,137
b01_sin,78051.45971679688,137
a15,74907.61322021484,81
b14_sin,74019.84121704102,97
b04_sin,69953.33489990234,99
b09_sin,67940.68682861328,93
b13_sin,66336.23602294922,94
b15_sin,66271.94421386719,91
b04_cos,64389.290771484375,110
b12_sin,63992.45004272461,89
a12,61505.668884277344,88
b06_cos,58986.657165527344,93
a14,55544.76873779297,67
b11_sin,53589.48809814453,69
b06_sin,52497.53805541992,83
b08_cos,52098.77520751953,85
a13,45900.191833496094,65
b05_cos,45692.69387817383,74
b08_sin,45241.50662231445,68
a11,41944.21374511719,66
a10,33142.166015625,58
b09_cos,32334.21304321289,57
b07_sin,30111.913024902344,50
b07_cos,26407.171142578125,51
b03_sin,24972.613037109375,54
b12_cos,23691.703979492188,44
b10_cos,19943.72100830078,38
b15_cos,12946.280944824219,29
b13_cos,12346.711944580078,26
b11_cos,11494.748077392578,20
b14_cos,10783.014099121094,24
