feature,gain,split
n01,158311200.0405407,25764
n02,118321166.61287308,19009
n03,67384960.07141113,15036
n04,43342920.43482399,12208
n05,29693717.685178757,7708
n06,25020702.98603058,4897
n07,12755245.999040604,2739
n08,9702467.96736145,1247
n09,9531980.546165466,1070
a01,4826557.868009567,20898
n11,3647702.522628784,1091
a02,3316640.646528244,13676
a04,2505594.405731201,10029
a03,2489912.08732605,10686
n10,1945383.437417984,858
a05,1463278.5213394165,6119
n12,1414693.372642517,639
n13,1312973.924736023,265
a06,1155278.3417186737,5697
n14,831073.0065765381,160
a07,525289.3201599121,2611
n15,357605.73498916626,161
a08,244258.79573440552,1469
a09,184480.72961616516,1115
d01,173037.7930316925,1165
b01_sin,167891.16057395935,1840
a11,156127.0874671936,979
hour_sin,155788.98286437988,512
b01_cos,112761.46636390686,1143
a12,106641.77220535278,726
b02_sin,103854.00036239624,1213
a10,101221.8278388977,681
d02,98744.58954429626,832
d06,89776.66537094116,669
d04,83559.51247406006,710
d03,76752.77635192871,665
d05,68650.73853874207,647
b02_cos,66443.74538040161,788
a14,51496.26841926575,317
a15,50088.15287590027,372
a13,47294.04195213318,364
b03_sin,37566.529640197754,593
d07,36182.66910934448,321
b06_cos,32779.24743270874,224
b03_cos,32466.84631538391,446
b04_cos,20789.71350288391,327
b05_cos,13327.911876678467,189
b05_sin,12661.660587310791,183
b04_sin,12208.43119430542,199
d08,11520.966732025146,134
d15,11486.337442398071,101
d11,8597.27922821045,119
d14,8486.783603668213,124
d13,8317.316017150879,126
d09,8090.51859664917,114
d10,7306.180778503418,104
d12,6685.363994598389,116
b06_sin,4253.896595001221,70
b07_sin,2626.0703887939453,50
b10_sin,2042.4838104248047,37
b07_cos,1988.1819076538086,38
b09_cos,1742.962802886963,27
b10_cos,1645.4499015808105,28
b08_sin,1421.5176944732666,25
b12_sin,1365.2809028625488,25
b09_sin,1204.3015937805176,21
b08_cos,781.3372993469238,13
doy_cos,452.6967010498047,8
doy_sin,451.7690124511719,1
b12_cos,387.0636978149414,7
b13_cos,386.07609939575195,7
b14_sin,367.76890563964844,5
b15_sin,290.81869888305664,6
b11_cos,285.8144989013672,5
b11_sin,255.39690017700195,5
b13_sin,107.05089950561523,2
b14_cos,75.88279724121094,2
b15_cos,74.07590103149414,2
hour_cos,40.595401763916016,1
