variable,config,n_train,best_val_mae,total_time_s,MAE,RMSE,R²,Bias,r
temperature,base,48037539,0.0333,36561.3,0.0349,0.0489,0.9471,-0.0006,0.9732
humidity,base,47239072,0.0694,35360.7,0.0751,0.1042,0.8456,-0.0017,0.9198
rainfall,base,46018298,0.025,7311.3,0.0225,0.1142,0.1513,0.0166,0.412
global_radiation,base,46995929,0.0464,25864.3,0.0468,0.1049,0.8667,-0.0012,0.932
pressure,base,47895014,0.0057,16469.7,0.0065,0.0173,0.9947,0.0006,0.9974
temperature,wide,48037539,0.0318,74872.3,0.0334,0.0477,0.9495,-0.0011,0.9745
humidity,wide,47239072,0.0686,42590.1,0.0747,0.1055,0.8417,0.0005,0.9188
rainfall,wide,46018298,0.025,27817.4,0.0223,0.113,0.1698,0.0154,0.4303
global_radiation,wide,46995929,0.0462,34338.5,0.0471,0.1069,0.8616,-0.0045,0.9305
pressure,wide,47895014,0.0042,57836.1,0.0051,0.0169,0.9949,-0.0005,0.9975
temperature,xl,48037539,0.0318,146260.3,0.0334,0.048,0.949,-0.001,0.9743
humidity,xl,47239072,0.0685,70161.9,0.0747,0.105,0.8431,-0.0013,0.919
rainfall,xl,46018298,0.025,62404.9,0.0224,0.1131,0.1689,0.0148,0.4285
global_radiation,xl,46995929,0.0466,71091.1,0.047,0.1059,0.864,-0.0041,0.9317
pressure,xl,47895014,0.0037,212576.0,0.0047,0.0161,0.9954,-0.0008,0.9977
