epoch,train_loss,val_mae,lr
1,0.006072,0.059007,3.6756756756756765e-05
2,0.00229,0.054143,6.351351351351353e-05
3,0.00201,0.050682,9.02702702702703e-05
4,0.001831,0.047754,0.00011702702702702706
5,0.001683,0.044376,0.00014378378378378384
6,0.001552,0.042539,0.0001705405405405406
7,0.001495,0.041764,0.00019729729729729738
8,0.001432,0.041122,0.00022405405405405415
9,0.001398,0.040614,0.0002508108108108109
10,0.00136,0.040187,0.0002775675675675677
11,0.001334,0.039801,0.00030432432432432447
12,0.001298,0.039451,0.00033108108108108124
13,0.001268,0.039179,0.000357837837837838
14,0.001241,0.038825,0.00038459459459459474
15,0.001211,0.038503,0.00041135135135135145
16,0.001186,0.038225,0.0004381081081081082
17,0.001155,0.037885,0.00046486486486486495
18,0.001127,0.038702,0.0004916216216216217
19,0.001102,0.037545,0.0005183783783783785
20,0.001075,0.037586,0.0005451351351351354
21,0.001052,0.037103,0.0005718918918918921
22,0.001026,0.036785,0.0005986486486486488
23,0.001004,0.036198,0.0006254054054054055
24,0.000983,0.035909,0.0006521621621621624
25,0.000961,0.035918,0.0006789189189189191
26,0.000945,0.035816,0.0007056756756756758
27,0.000926,0.035801,0.0007324324324324326
28,0.00091,0.035151,0.0007591891891891894
29,0.000893,0.03531,0.0007859459459459462
30,0.000879,0.03482,0.0008127027027027029
31,0.000892,0.034504,0.0008394594594594596
32,0.000852,0.0344,0.0008662162162162163
33,0.000844,0.034837,0.0008929729729729731
34,0.000834,0.034117,0.00091972972972973
35,0.000825,0.034866,0.0009464864864864868
36,0.000813,0.033896,0.0009732432432432436
37,0.00112,0.035087,0.001
38,0.000831,0.034694,0.000999995151298149
39,0.000807,0.033929,0.0009999806052867297
40,0.000798,0.033801,0.000999956362248142
41,0.000791,0.033856,0.0009999224226530453
42,0.000785,0.033478,0.0009998787871603506
43,0.000779,0.034059,0.0009998254566172067
44,0.000774,0.033305,0.0009997624320589847
45,0.00077,0.03315,0.0009996897147092577
46,0.000764,0.033323,0.000999607305979776
47,0.000762,0.037055,0.0009995152074704413
48,0.000759,0.033277,0.0009994134209692742
49,0.000752,0.032929,0.0009993019484523806
50,0.00075,0.032836,0.0009991807920839123
51,0.000745,0.033122,0.0009990499542160262
52,0.000743,0.032895,0.0009989094373888377
53,0.000741,0.032791,0.0009987592443303714
54,0.000736,0.032746,0.000998599377956509
55,0.000734,0.032664,0.0009984298413709312
56,0.000732,0.032693,0.0009982506378650592
57,0.000729,0.032546,0.0009980617709179893
58,0.000727,0.033473,0.0009978632441964266
59,0.000725,0.032387,0.0009976550615546126
60,0.000724,0.032509,0.0009974372270342515
61,0.000719,0.032581,0.0009972097448644308
62,0.000719,0.03236,0.0009969726194615396
63,0.000717,0.032505,0.0009967258554291834
64,0.000715,0.032316,0.0009964694575580935
65,0.000713,0.03232,0.000996203430826035
66,0.000713,0.03226,0.00099592778039771
67,0.00071,0.0324,0.000995642511624657
68,0.000708,0.032227,0.000995347630045147
69,0.000706,0.032235,0.0009950431413840767
70,0.000707,0.032357,0.000994729051552856
71,0.000705,0.032327,0.0009944053666492948
72,0.000703,0.032237,0.0009940720929574834
73,0.000703,0.032216,0.0009937292369476712
74,0.0007,0.032765,0.0009933768052761407
75,0.0007,0.032349,0.0009930148047850786
76,0.000698,0.032478,0.0009926432425024425
77,0.000697,0.032159,0.000992262125641825
78,0.000697,0.032273,0.0009918714616023133
79,0.000696,0.032154,0.0009914712579683457
80,0.000696,0.032241,0.0009910615225095642
81,0.000693,0.032184,0.0009906422631806636
82,0.000693,0.03225,0.0009902134881212376
83,0.000692,0.032112,0.0009897752056556204
84,0.000693,0.032421,0.0009893274242927248
85,0.00069,0.032059,0.000988870152725877
86,0.00069,0.032106,0.0009884033998326493
87,0.000689,0.032082,0.0009879271746746853
88,0.000689,0.032597,0.000987441486497526
89,0.000688,0.032045,0.0009869463447304291
90,0.000686,0.032673,0.0009864417589861868
91,0.000686,0.032076,0.0009859277390609385
92,0.000685,0.032014,0.000985404294933981
93,0.000685,0.03214,0.0009848714367675742
94,0.000684,0.032036,0.0009843291749067448
95,0.000683,0.032026,0.0009837775198790852
96,0.000684,0.032024,0.0009832164823945482
97,0.000682,0.032169,0.0009826460733452394
98,0.000682,0.032087,0.0009820663038052069
99,0.000682,0.032148,0.000981477185030225
100,0.00068,0.032067,0.000980878728457576
101,0.00068,0.032056,0.0009802709457058289
102,0.000679,0.032056,0.000979653848574612
103,0.000679,0.032124,0.0009790274490443867
104,0.000679,0.031921,0.0009783917592762115
105,0.000678,0.031959,0.0009777467916115086
106,0.000677,0.03201,0.0009770925585718235
107,0.000677,0.031951,0.0009764290728585812
108,0.000678,0.032061,0.0009757563473528403
109,0.000676,0.032083,0.0009750743951150432
110,0.000677,0.031949,0.0009743832293847614
111,0.000676,0.031914,0.0009736828635804398
112,0.000675,0.031926,0.0009729733112991353
113,0.000674,0.032025,0.000972254586316253
114,0.000675,0.03207,0.0009715267025852794
115,0.000674,0.031914,0.00097078967423751
116,0.000674,0.032015,0.0009700435155817769
117,0.000673,0.031911,0.0009692882411041696
118,0.000673,0.031947,0.0009685238654677539
119,0.000673,0.031998,0.0009677504035122881
120,0.000672,0.031847,0.0009669678702539339
121,0.000671,0.032099,0.0009661762808849655
122,0.000671,0.032046,0.0009653756507734743
123,0.000671,0.03205,0.0009645659954630705
124,0.000671,0.032033,0.000963747330672582
125,0.00067,0.032079,0.0009629196722957485
126,0.00067,0.032277,0.000962083036400913
127,0.00067,0.031929,0.0009612374392307103
