epoch,train_loss,val_mae,lr
1,0.001432,0.02827,1.8378378378378383e-05
2,0.001071,0.027802,3.1756756756756766e-05
3,0.001053,0.027699,4.513513513513515e-05
4,0.001025,0.02544,5.851351351351353e-05
5,0.001023,0.026278,7.189189189189192e-05
6,0.000997,0.025445,8.52702702702703e-05
7,0.001002,0.027485,9.864864864864869e-05
8,0.000993,0.026958,0.00011202702702702708
9,0.000992,0.026235,0.00012540540540540546
10,0.000987,0.02644,0.00013878378378378385
11,0.000983,0.025122,0.00015216216216216224
12,0.00098,0.026093,0.00016554054054054062
13,0.000978,0.026717,0.000178918918918919
14,0.000977,0.026029,0.00019229729729729737
15,0.000974,0.026182,0.00020567567567567573
16,0.000973,0.025198,0.0002190540540540541
17,0.000972,0.025008,0.00023243243243243247
18,0.000971,0.025215,0.00024581081081081086
19,0.00097,0.025677,0.00025918918918918927
20,0.000969,0.025172,0.0002725675675675677
21,0.000968,0.024995,0.00028594594594594605
22,0.000967,0.025788,0.0002993243243243244
23,0.000967,0.025628,0.00031270270270270276
24,0.000966,0.026779,0.0003260810810810812
25,0.000966,0.025423,0.00033945945945945954
26,0.000965,0.025212,0.0003528378378378379
27,0.000965,0.025226,0.0003662162162162163
28,0.000964,0.025521,0.0003795945945945947
29,0.000963,0.025139,0.0003929729729729731
30,0.000963,0.025159,0.00040635135135135144
31,0.000962,0.025248,0.0004197297297297298
32,0.000962,0.026067,0.00043310810810810816
33,0.000962,0.025299,0.0004464864864864866
34,0.000961,0.025357,0.000459864864864865
35,0.000961,0.025477,0.0004732432432432434
36,0.00096,0.025107,0.0004866216216216218
37,0.00096,0.025692,0.0005
38,0.00096,0.025454,0.0004999975780758522
39,0.000959,0.025354,0.0004999903123504287
40,0.000958,0.02616,0.0004999782029647878
41,0.000958,0.025608,0.0004999612501540237
42,0.000957,0.025979,0.0004999394542472623
43,0.000956,0.02537,0.0004999128156676539
44,0.000956,0.025185,0.0004998813349323658
45,0.000955,0.025334,0.0004998450126525722
46,0.000955,0.025452,0.0004998038495334417
