epoch,train_loss,val_mae,lr
1,0.002465,0.051807,1.8378378378378383e-05
2,0.001679,0.044428,3.1756756756756766e-05
3,0.001435,0.042216,4.513513513513515e-05
4,0.001314,0.040975,5.851351351351353e-05
5,0.001257,0.040192,7.189189189189192e-05
6,0.0012,0.039342,8.52702702702703e-05
7,0.001153,0.038788,9.864864864864869e-05
8,0.001111,0.03801,0.00011202702702702708
9,0.00107,0.037492,0.00012540540540540546
10,0.001034,0.037367,0.00013878378378378385
11,0.000995,0.036895,0.00015216216216216224
12,0.000965,0.035835,0.00016554054054054062
13,0.000939,0.035619,0.000178918918918919
14,0.000915,0.035483,0.00019229729729729737
15,0.000895,0.03477,0.00020567567567567573
16,0.000878,0.034753,0.0002190540540540541
17,0.000861,0.03454,0.00023243243243243247
18,0.000846,0.034701,0.00024581081081081086
19,0.000833,0.033819,0.00025918918918918927
20,0.000822,0.034442,0.0002725675675675677
21,0.000808,0.033694,0.00028594594594594605
22,0.000797,0.033882,0.0002993243243243244
23,0.000788,0.034055,0.00031270270270270276
24,0.000778,0.033207,0.0003260810810810812
25,0.000767,0.032971,0.00033945945945945954
26,0.000759,0.033089,0.0003528378378378379
27,0.000749,0.032795,0.0003662162162162163
28,0.000741,0.032629,0.0003795945945945947
29,0.000734,0.032506,0.0003929729729729731
30,0.000726,0.032659,0.00040635135135135144
31,0.000718,0.032537,0.0004197297297297298
32,0.00141,0.040508,0.00043310810810810816
33,0.001115,0.03911,0.0004464864864864866
34,0.001047,0.038044,0.000459864864864865
35,0.000991,0.037477,0.0004732432432432434
36,0.00094,0.036296,0.0004866216216216218
37,0.000894,0.03525,0.0005
38,0.000857,0.03569,0.0004999975780758522
39,0.000826,0.034108,0.0004999903123504287
40,0.000801,0.034123,0.0004999782029647878
41,0.000782,0.034818,0.0004999612501540237
42,0.000767,0.033574,0.0004999394542472623
43,0.000752,0.033642,0.0004999128156676539
44,0.000741,0.03282,0.0004998813349323658
45,0.000731,0.033331,0.0004998450126525722
46,0.000722,0.032654,0.0004998038495334417
47,0.000715,0.033617,0.0004997578463741243
48,0.000707,0.032892,0.0004997070040677356
49,0.0007,0.032631,0.0004996513236013392
50,0.000695,0.032776,0.0004995908060559281
51,0.000689,0.032818,0.0004995254526064034
52,0.000685,0.032152,0.0004994552645215515
53,0.00068,0.032145,0.0004993802431640192
54,0.000676,0.032038,0.000499300389990288
55,0.000673,0.032297,0.000499215706550645
56,0.000669,0.032279,0.0004991261944891534
57,0.000666,0.032141,0.00049903185554362
58,0.000662,0.03199,0.0004989326915455622
59,0.00066,0.032103,0.0004988287044201717
60,0.000656,0.031881,0.0004987198961862775
61,0.000654,0.032102,0.0004986062689563071
62,0.000652,0.032004,0.0004984878249362444
63,0.000649,0.031953,0.0004983645664255879
64,0.000647,0.032111,0.0004982364958173057
65,0.000645,0.031877,0.000498103615597789
66,0.000643,0.031846,0.0004979659283468038
67,0.000641,0.031861,0.000497823436737441
68,0.000639,0.031808,0.0004976761435360642
69,0.000638,0.031994,0.0004975240516022563
70,0.000635,0.031952,0.0004973671638887636
71,0.000634,0.031903,0.0004972054834414392
72,0.000633,0.03184,0.0004970390133991831
73,0.000631,0.032002,0.0004968677569938815
74,0.000629,0.032408,0.0004966917175503443
75,0.000628,0.032216,0.0004965108984862402
76,0.000626,0.03189,0.0004963253033120306
77,0.000625,0.031818,0.0004961349356309014
78,0.000624,0.031776,0.0004959397991386929
79,0.000623,0.031879,0.0004957398976238282
80,0.000621,0.031791,0.0004955352349672396
81,0.00062,0.03202,0.0004953258151422933
82,0.000619,0.031924,0.0004951116422147122
83,0.000618,0.031944,0.0004948927203424971
84,0.000617,0.031927,0.0004946690537758454
85,0.000615,0.032055,0.0004944406468570697
86,0.000614,0.031938,0.0004942075040205125
87,0.000613,0.031983,0.0004939696297924604
88,0.000612,0.032192,0.0004937270287910565
89,0.000611,0.031825,0.0004934797057262102
90,0.00061,0.032,0.0004932276653995066
91,0.000609,0.032055,0.0004929709127041123
92,0.000608,0.03211,0.000492709452624681
93,0.000607,0.032229,0.0004924432902372567
94,0.000606,0.031998,0.0004921724307091748
95,0.000605,0.031954,0.0004918968792989625
96,0.000604,0.032027,0.0004916166413562358
97,0.000603,0.032096,0.000491331722321596
98,0.000602,0.032041,0.0004910421277265248
99,0.000602,0.032209,0.0004907478631932756
100,0.0006,0.032012,0.0004904489344347652
101,0.0006,0.031966,0.000490145347254463
102,0.000599,0.032041,0.0004898371075462777
103,0.000598,0.032005,0.0004895242212944434
